name,enabled,n_phases,n_conds,base_freq,x_hl,x_ht,x_lt,pct_load_loss,ppm_anti_float
m1_xfmr,true,3,4,60,0.08,0.35,0.3,0.4,1E-6
xfmr_ae191606_a,true,1,2,60,0.0157,0.35,0.3,1.31292,1E-6
xfmr_ae300103_a,true,1,2,60,0.0184,0.35,0.3,0.836,1E-6
xfmr_ae300104_a,true,1,2,60,0.0173,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300105_c,true,1,2,60,0.0154,0.35,0.3,0.707333333333333,1E-6
xfmr_ae300106_c,true,1,2,60,0.0183,0.35,0.3,0.801733333333333,1E-6
xfmr_ae300107_c,true,1,2,60,0.0184,0.35,0.3,0.8248,1E-6
xfmr_ae300108_b,true,1,2,60,0.0187,0.35,0.3,0.839066666666667,1E-6
xfmr_ae300109_b,true,1,2,60,0.0184,0.35,0.3,0.954,1E-6
xfmr_ae300110_a,true,1,2,60,0.0184,0.35,0.3,0.806,1E-6
xfmr_ae300111_a,true,1,2,60,0.0154,0.35,0.3,0.7,1E-6
xfmr_ae300114_c,true,1,2,60,0.0204,0.35,0.3,1.304,1E-6
xfmr_ae300115_c,true,1,2,60,0.015,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300116_c,true,1,2,60,0.0203,0.35,0.3,1.256,1E-6
xfmr_ae300117_c,true,1,2,60,0.018,0.35,0.3,0.613333333333333,1E-6
xfmr_ae300118_c,true,1,2,60,0.0182,0.35,0.3,0.82,1E-6
xfmr_ae300119_c,true,1,2,60,0.0182,0.35,0.3,0.845333333333333,1E-6
xfmr_ae300120_c,true,1,2,60,0.016,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300121_c,true,1,2,60,0.016,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300122_a,true,1,2,60,0.0185,0.35,0.3,0.8084,1E-6
xfmr_ae300123_a,true,1,2,60,0.019,0.35,0.3,0.962,1E-6
xfmr_ae300124_b,true,1,2,60,0.017,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300125_b,true,1,2,60,0.0188,0.35,0.3,0.9399999999999999,1E-6
xfmr_ae300134_a,true,1,2,60,0.0196,0.35,0.3,0.964,1E-6
xfmr_ae300135_a,true,1,2,60,0.016,0.35,0.3,0.705866666666667,1E-6
xfmr_ae300136_a,true,1,2,60,0.0183,0.35,0.3,0.944,1E-6
xfmr_ae300142_b,true,1,2,60,0.036,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300143_b,true,1,2,60,0.016,0.35,0.3,1.18748666666667,1E-6
xfmr_ae300144_b,true,1,2,60,0.016,0.35,0.3,0.9360000000000001,1E-6
xfmr_ae300145_b,true,1,2,60,0.019,0.35,0.3,0.826933333333333,1E-6
xfmr_ae300146_b,true,1,2,60,0.0185,0.35,0.3,0.9338,1E-6
xfmr_ae300147_b,true,1,2,60,0.0189,0.35,0.3,0.8372000000000001,1E-6
xfmr_ae300148_b,true,1,2,60,0.0191,0.35,0.3,0.750133333333333,1E-6
xfmr_ae300149_b,true,1,2,60,0.0182,0.35,0.3,0.826666666666667,1E-6
xfmr_ae300150_b,true,1,2,60,0.0187,0.35,0.3,0.95,1E-6
xfmr_ae300151_b,true,1,2,60,0.016,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300152_b,true,1,2,60,0.015,0.35,0.3,0.928,1E-6
xfmr_ae300153_c,true,1,2,60,0.0149,0.35,0.3,0.645333333333333,1E-6
xfmr_ae300154_c,true,1,2,60,0.017,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300155_c,true,1,2,60,0.0187,0.35,0.3,0.952,1E-6
xfmr_ae300199_a,true,1,2,60,0.029,0.35,0.3,1.18748666666667,1E-6
xfmr_ae300199_c,true,1,2,60,0.029,0.35,0.3,1.18748666666667,1E-6
xfmr_ae300202_a,true,1,2,60,0.0192,0.35,0.3,0.9506,1E-6
xfmr_ae300203_a,true,1,2,60,0.0184,0.35,0.3,0.832,1E-6
xfmr_ae300204_a,true,1,2,60,0.0188,0.35,0.3,0.9432,1E-6
xfmr_ae300206_a,true,1,2,60,0.015,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300207_a,true,1,2,60,0.0173,0.35,0.3,0.741333333333333,1E-6
xfmr_ae300208_a,true,1,2,60,0.0166,0.35,0.3,0.742666666666667,1E-6
xfmr_ae300209_a,true,1,2,60,0.015,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300216_b,true,1,2,60,0.018,0.35,0.3,0.805733333333333,1E-6
xfmr_ae300217_b,true,1,2,60,0.0184,0.35,0.3,0.8316,1E-6
xfmr_ae300225_c,true,1,2,60,0.0183,0.35,0.3,0.946,1E-6
xfmr_ae300226_a,true,1,2,60,0.018,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300227_a,true,1,2,60,0.0197,0.35,0.3,0.9874000000000001,1E-6
xfmr_ae300229_a,true,1,2,60,0.0198,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300234_a,true,1,2,60,0.0157,0.35,0.3,0.825333333333333,1E-6
xfmr_ae300235_b,true,1,2,60,0.0188,0.35,0.3,0.9614,1E-6
xfmr_ae300236_b,true,1,2,60,0.0177,0.35,0.3,1.1247,1E-6
xfmr_ae300237_b,true,1,2,60,0.0193,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300238_b,true,1,2,60,0.0187,0.35,0.3,0.9544,1E-6
xfmr_ae300239_b,true,1,2,60,0.0171,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300240_c,true,1,2,60,0.0186,0.35,0.3,0.9389999999999999,1E-6
xfmr_ae300241_c,true,1,2,60,0.016,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300242_c,true,1,2,60,0.0154,0.35,0.3,0.7088,1E-6
xfmr_ae300243_c,true,1,2,60,0.016,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300244_c,true,1,2,60,0.0155,0.35,0.3,0.7141999999999999,1E-6
xfmr_ae300245_c,true,1,2,60,0.0157,0.35,0.3,0.7608,1E-6
xfmr_ae300253_b,true,1,2,60,0.016,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300253_c,true,1,2,60,0.016,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300255_b,true,1,2,60,0.019,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300255_c,true,1,2,60,0.019,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300257_a,true,1,2,60,0.021,0.35,0.3,1.18748666666667,1E-6
xfmr_ae300257_b,true,1,2,60,0.021,0.35,0.3,1.18748666666667,1E-6
xfmr_ae300257_c,true,1,2,60,0.021,0.35,0.3,1.18748666666667,1E-6
xfmr_ae300701_a,true,1,2,60,0.0177,0.35,0.3,0.748,1E-6
xfmr_ae300702_b,true,1,2,60,0.0159,0.35,0.3,0.708533333333333,1E-6
xfmr_ae300703_b,true,1,2,60,0.031,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300704_b,true,1,2,60,0.0187,0.35,0.3,0.827866666666667,1E-6
xfmr_ae300705_b,true,1,2,60,0.0165,0.35,0.3,0.7706666666666671,1E-6
xfmr_ae300706_b,true,1,2,60,0.0183,0.35,0.3,0.834666666666667,1E-6
xfmr_ae300707_b,true,1,2,60,0.019,0.35,0.3,0.962,1E-6
xfmr_ae300710_c,true,1,2,60,0.016,0.35,0.3,0.711866666666667,1E-6
xfmr_ae300711_c,true,1,2,60,0.022,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300712_c,true,1,2,60,0.016,0.35,0.3,0.585333333333333,1E-6
xfmr_ae300713_c,true,1,2,60,0.017,0.35,0.3,0.581333333333333,1E-6
xfmr_ae300714_c,true,1,2,60,0.0167,0.35,0.3,0.606,1E-6
xfmr_ae300715_c,true,1,2,60,0.0154,0.35,0.3,0.525333333333333,1E-6
xfmr_ae300808_b,true,1,2,60,0.013,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300809_b,true,1,2,60,0.0186,0.35,0.3,0.9472,1E-6
xfmr_ae300810_b,true,1,2,60,0.0184,0.35,0.3,0.821333333333333,1E-6
xfmr_ae300811_b,true,1,2,60,0.016,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300812_b,true,1,2,60,0.013,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300813_b,true,1,2,60,0.018,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300814_a,true,1,2,60,0.013,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300815_b,true,1,2,60,0.015,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300817_b,true,1,2,60,0.0182,0.35,0.3,0.818666666666667,1E-6
xfmr_ae300818_b,true,1,2,60,0.0188,0.35,0.3,0.836133333333334,1E-6
xfmr_ae300819_a,true,1,2,60,0.0186,0.35,0.3,0.8268,1E-6
xfmr_ae300820_a,true,1,2,60,0.0321,0.35,0.3,0.9419999999999999,1E-6
xfmr_ae300821_a,true,1,2,60,0.0226,0.35,0.3,0.898133333333333,1E-6
xfmr_ae300822_a,true,1,2,60,0.0157,0.35,0.3,0.707333333333333,1E-6
xfmr_ae300823_c,true,1,2,60,0.0149,0.35,0.3,0.610666666666667,1E-6
xfmr_ae300825_b,true,1,2,60,0.0187,0.35,0.3,0.9586,1E-6
xfmr_ae300826_b,true,1,2,60,0.0185,0.35,0.3,0.8120000000000001,1E-6
xfmr_ae300827_b,true,1,2,60,0.0184,0.35,0.3,0.8159999999999999,1E-6
xfmr_ae300828_b,true,1,2,60,0.018,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300829_b,true,1,2,60,0.0183,0.35,0.3,0.9566,1E-6
xfmr_ae300830_b,true,1,2,60,0.0185,0.35,0.3,0.9404,1E-6
xfmr_ae300831_c,true,1,2,60,0.0168,0.35,0.3,0.654,1E-6
xfmr_ae300832_c,true,1,2,60,0.0182,0.35,0.3,0.822666666666667,1E-6
xfmr_ae300833_c,true,1,2,60,0.018,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300834_c,true,1,2,60,0.0192,0.35,0.3,0.966,1E-6
xfmr_ae300835_c,true,1,2,60,0.0162,0.35,0.3,0.6696,1E-6
xfmr_ae300836_c,true,1,2,60,0.018,0.35,0.3,0.890680425531915,1E-6
xfmr_ae300901_a,true,1,2,60,0.016,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300902_a,true,1,2,60,0.0185,0.35,0.3,0.818666666666667,1E-6
xfmr_ae300903_b,true,1,2,60,0.0182,0.35,0.3,0.679,1E-6
xfmr_ae300904_b,true,1,2,60,0.017,0.35,0.3,0.777764583333334,1E-6
xfmr_ae300905_b,true,1,2,60,0.0169,0.35,0.3,0.745333333333333,1E-6
xfmr_ae300906_b,true,1,2,60,0.0157,0.35,0.3,0.648,1E-6
xfmr_ae300907_b,true,1,2,60,0.0172,0.35,0.3,0.761333333333333,1E-6
xfmr_ae300908_b,true,1,2,60,0.0165,0.35,0.3,0.752,1E-6
xfmr_ae300911_c,true,1,2,60,0.0168,0.35,0.3,0.761333333333333,1E-6
xfmr_ae300912_c,true,1,2,60,0.0187,0.35,0.3,0.851733333333333,1E-6
xfmr_ae300913_c,true,1,2,60,0.0186,0.35,0.3,0.9628,1E-6
xfmr_ae300914_a,true,1,2,60,0.0164,0.35,0.3,0.7706666666666671,1E-6
xfmr_ae300915_a,true,1,2,60,0.0185,0.35,0.3,0.809333333333333,1E-6
xfmr_ae300916_a,true,1,2,60,0.0166,0.35,0.3,0.753333333333333,1E-6
xfmr_ae300917_a,true,1,2,60,0.0167,0.35,0.3,0.752,1E-6
xfmr_ae300918_a,true,1,2,60,0.032,0.35,0.3,0.953466666666667,1E-6
xfmr_ae300919_a,true,1,2,60,0.0177,0.35,0.3,1.12942,1E-6
xfmr_ae300920_a,true,1,2,60,0.0321,0.35,0.3,0.937466666666667,1E-6
xfmr_ae300921_b,true,1,2,60,0.0178,0.35,0.3,1.10798,1E-6
xfmr_ae300922_b,true,1,2,60,0.0178,0.35,0.3,0.9256,1E-6
xfmr_ae300923_b,true,1,2,60,0.0169,0.35,0.3,0.9829,1E-6
xfmr_ae301003_c,true,1,2,60,0.017,0.35,0.3,0.777764583333334,1E-6
xfmr_ae301004_c,true,1,2,60,0.019,0.35,0.3,0.835333333333333,1E-6
xfmr_ae301005_c,true,1,2,60,0.0161,0.35,0.3,0.678,1E-6
xfmr_ae301006_c,true,1,2,60,0.016,0.35,0.3,0.890680425531915,1E-6
xfmr_ae301007_c,true,1,2,60,0.0162,0.35,0.3,0.72,1E-6
xfmr_ae301008_c,true,1,2,60,0.0184,0.35,0.3,0.8476,1E-6
xfmr_ae301009_c,true,1,2,60,0.017,0.35,0.3,0.777764583333334,1E-6
xfmr_ae301010_c,true,1,2,60,0.0161,0.35,0.3,0.7332,1E-6
xfmr_ae301011_c,true,1,2,60,0.0161,0.35,0.3,0.7192,1E-6
xfmr_ae301016_a,true,1,2,60,0.019,0.35,0.3,0.9604,1E-6
xfmr_ae301017_a,true,1,2,60,0.0185,0.35,0.3,0.822933333333334,1E-6
xfmr_ae301018_a,true,1,2,60,0.019,0.35,0.3,0.811733333333333,1E-6
xfmr_ae301019_a,true,1,2,60,0.0166,0.35,0.3,0.928,1E-6
xfmr_ae301020_a,true,1,2,60,0.0167,0.35,0.3,0.890680425531915,1E-6
xfmr_ae301021_a,true,1,2,60,0.0166,0.35,0.3,0.91,1E-6
xfmr_ae301022_c,true,1,2,60,0.0153,0.35,0.3,0.72,1E-6
xfmr_ae301517_c,true,1,2,60,0.0177,0.35,0.3,1.14838,1E-6
xfmr_ae301518_c,true,1,2,60,0.0164,0.35,0.3,0.6738,1E-6
xfmr_ae301519_c,true,1,2,60,0.0149,0.35,0.3,0.6506666666666669,1E-6
xfmr_ae301520_a,true,1,2,60,0.0163,0.35,0.3,0.674,1E-6
xfmr_ae301521_a,true,1,2,60,0.0186,0.35,0.3,0.9360000000000001,1E-6
xfmr_ae300247,true,3,4,60,0.048,0.35,0.3,0.757666666666667,1E-6
xfmr_ae300250,true,3,4,60,0.0209,0.35,0.3,0.878733333333333,1E-6
xfmr_ae300322,true,3,4,60,0.0446,0.35,0.3,0.6366000000000001,1E-6
xfmr_ae301090,true,3,4,60,0.0601,0.35,0.3,0.6524,1E-6
